"High.plateau"	"Low.plateau"	"Slope"	"Stream"	"Swamp"	"Young"
"ade1tr"	0.587675644028103	0.109295650253919	0.079313942071674	0.107421875	0	1
"alchco"	0.468709341660161	0.450338558916612	0.526509572901325	0.122767857142857	0	1
"alsebl"	0.387594962015194	0.222022216358176	0.1722927667421	0.230564024390244	0.0665408439798684	1
"apeime"	0.424300867888139	0.498227111555596	0.468971093592076	1	0.459383753501401	0.658823529411765
"aspicr"	1	0.264679608071126	0.600018916107065	0.157396788990826	0	0.305254378648874
"ast1st"	0.205571759026451	0.188372953034771	0.233761305420277	0.152990797546012	1	0.332626882320134
"beilpe"	0.788332544741017	0.600963569616068	1	0.432300509337861	0	0.035931470906004
"brosal"	0.832682799895915	0.681828218149702	0.688594338078874	1	0.217687074829932	0.803463203463203
"calolo"	0.137704918032787	0.248299845440495	0.292268041237113	0.196875	1	0.152727272727273
"casear"	0.593183779119931	0.769543642723501	0.50732501356484	0.859375	0.206766917293233	1
"casesy"	0.337348053975689	0.185629120272529	0.335577529981065	0.350765306122449	0.21379980563654	1
"cassel"	0.114754098360656	0.154173106646059	0.192439862542955	0.1640625	1	0.135227272727273
"cecrin"	1	0.902018190464867	0.731661379857256	0.439903846153846	0.335164835164835	0.405244755244755
"cecrob"	0.0765027322404371	0.143001142396344	0.129687733452861	0.247282608695652	1	0.0442687747035573
"chr2ar"	0.652679226816736	0.919675194352811	1	0.814365671641791	0.20682302771855	0.552781546811398
"cordal"	0.498360655737705	0.531684698608965	0.236426116838488	1	0.533333333333333	0.232727272727273
"cordbi"	0.227927020096509	1	0.638343199534253	0.0909389055472264	0	0.326277770205806
"cordla"	0.746303932414764	0.63119304766691	1	0.850795628834356	0.308172655565294	0.40574456218628
"cou2cu"	0.178690497326942	1	0.305010731077946	0	0.778580024067389	0.552084017065966
"crotbi"	0.168618266978923	0.28218149701921	0.253313696612666	0.642857142857143	1	0.187012987012987
"dendar"	0.244630829838607	0.618777182703713	0.360425157835851	0	0.456810631229236	1
"drypst"	0.5232590724394	0.467066936155035	1	0.440438034188034	0.108567358567359	0.105516705516706
"eugeco"	1	0.43069411268793	0.514526710402999	0.4765625	0.792207792207792	0.579752066115702
"eugene"	0.576020572163292	0.523683971270116	0.297554073175662	1	0.26890756302521	0.205347593582888
"eugeoe"	0.703632272581164	0.445040458223475	0.482514655346675	0.323529411764706	0.831932773109244	1
"faraoc"	1	0.616859468329986	0.384887887618255	0.341857185273159	0.470902612826603	0.70865903692507
"gar2in"	1	0.59435440076862	0.518389523544163	0.347761824324324	0.79488416988417	0.44963144963145
"guapst"	1	0.764637309092814	0.618207233968198	0.290783898305085	0.295399515738499	0.535747303543914
"guargu"	1	0.421288538192467	0.6862362090794	0.642105263157895	0.366917293233083	0.274354066985646
"guarsp"	1	0.486754609827109	0.994485734835771	0.664970930232558	0.20265780730897	0.386892177589852
"guatdu"	0.427161684345869	0.603218474406764	1	0.552757352941176	0	0.217860962566845
"guetfo"	0.194023656360241	0.243186664840647	0.133977119491931	0.565664556962025	0.132610006027728	1
"gustsu"	0.0977138157413342	0.0357879347555236	0.0385700638877078	0.121518478843064	0.0112224857806004	1
"hassfl"	0.336012000428587	0.691456799102949	0.629607169328212	1	0.687208216619981	0.809982174688057
"heisco"	1	0.701031430051859	0.677517502141612	0.622671919770774	0.711625051166598	0.123938525657723
"hirttr"	0.243288191969589	0.561252603991667	0.884506200507993	1	0.285714285714286	0.199209486166008
"huracr"	1	0.480834621329212	0.718703976435935	0.735267857142857	0.809183673469388	0
"ingama"	0.55655737704918	0.694641937145801	1	0.303125	0.230952380952381	0.852424242424242
"ingaqu"	0.591845313156789	0.814171917726786	0.828971715569654	1	0.293040293040293	0.223776223776224
"ingasa"	0.685245901639344	0.775270479134467	0.899656357388316	0.275	0.261904761904762	1
