"High.elev"	"Low.elev.NE.high"	"Low.elev.NE.low"	"Mid.elev.SW"	"Valley.SW"
"AGROHO"	0	0	0.362082362082362	0.222222222222222	1
"ANISCI"	0.171771771771772	0.975277067348679	1	0.295038244766506	0.788437303087587
"AXINZE"	0.0144144144144144	0	0.181818181818182	0.222222222222222	1
"BHESCE"	0.739735480161012	0.600750938673342	0.585627138818628	1	0.488436632747456
"C-CODE"	0.701719901719902	1	0.859186268277177	0.611742424242424	0.890316205533597
"CALOTH"	0.88957528957529	0.403361344537815	0.743256743256743	1	0.670807453416149
"CAMPZE"	0.0468468468468469	0.679738562091503	1	0.180555555555556	0.565217391304348
"CARACA"	0.138138138138138	0.300653594771242	0.67016317016317	0.186342592592593	1
"CHAECA"	0.0248356464572681	1	0.901247401247401	0.105292792792793	0.629259694477086
"CHAECO"	0.0380242311276794	1	0.545213407282373	0.0580100574712644	0.576649175412294
"CULLCE"	0.40025390037751	0.0349014760415909	0.302886236137163	1	0.580426721126458
"CULLRO"	1	0.483660130718954	0.252580752580753	0.721891534391534	0.300034506556246
"DILLRE"	0	0	1	0	0.646775605485848
"DIOSAC"	0.466274970622797	0	0.034052903618121	1	0.181474480151229
"DIPTHI"	0.0702702702702703	0.764705882352941	1	0.433333333333333	0.932608695652174
"GARCHE"	0.313560952468802	0.697220867869332	1	0.448835933690882	0.835149343904352
"GOMPSE"	0	1	0.810939060939061	0.0379464285714286	0.131987577639752
"GYRIWA"	1	0.422615648201028	0.0251205105574038	0.149676375404531	0.0585690164626425
"HOPEJU"	1	0.259103641456583	0.323426573426573	0.91765873015873	0.143633540372671
"HYDNOC"	0.694932432432432	1	0.118881118881119	0.741536458333333	0.588994565217391
"LITSGA"	0.0816816816816817	1	0.561383061383061	0.137731481481481	0.123188405797101
"MALLFU"	0	0	0.470603470603471	0	1
"MANGZE"	0.710630630630631	1	0.317016317016317	0.838194444444444	0.640579710144928
"MASTTE"	0.0597467032249641	0.24381926683717	1	0.359802737520129	0.856017643352237
"MEMERO"	0.194067237969677	0	0.329524134402183	0.233739837398374	1
"MESUFE"	0.695155532891382	0.0355160932297447	0.126665787043146	1	0.544708777686629
"MESUNA"	1	0.571356747827336	0.131371477525324	0.611772486772487	0.0654739785174568
"MYRIDA"	0.328185328185328	1	0.823676323676324	0.720982142857143	0.640139751552795
"NARGMA"	0.882162162162162	0	0.134265734265734	1	0.347826086956522
"NOTHBE"	0.253939045428407	0	0.18568665377176	1	0.976873265494912
"PALACA"	0.58018018018018	0.150326797385621	0.929292929292929	0.346064814814815	1
"PALAPE"	1	0	0.113290664138122	0.827448210922787	0.31810366003439
"PALATH"	1	0	0.026840379537475	0.271870677731674	0.0667508569366769
"PODATH"	0.425513513513514	0.67764705882353	0.584055944055944	1	0.855652173913044
"PSEUCH"	0.0306306306306306	1	0.835470085470085	0.0983796296296296	0.318236714975845
"PUTRRO"	1	0.324846356453029	0.695125769752635	0.431436567164179	0.120051914341337
"SCHUCA"	0.00529039677975848	0.230287859824781	0.718643059068591	0.0203900709219858	1
"SEMEGA"	0.049029311001142	0.457332228666114	0.711316852161922	0.148474178403756	1
"SEMEWA"	0.0883575883575884	1	0.64470145239376	0.674278846153846	0.881270903010034
"SHORAF"	1	0.487829614604462	0.166174342898481	0.375448994252874	0.547788605697151
"SHORCN"	0.132732732732733	1	0.181623931623932	0.182002314814815	0.164251207729469
"SHORCR"	0.886829686829687	0.298786181139122	0.161616161616162	1	0.364389233954451
"SHORDI"	1	0	0.0793205067816466	0.975190702360391	0.406341518359991
"SHORME"	0.200284495021337	0.0990712074303406	0.488774383511226	1	0.854309687261632
"SHORST"	0.545945945945946	1	0.576923076923077	0.791666666666667	0.391304347826087
"SHORTR"	0.0844989088467349	0.835951772013153	1	0.314570393374741	0.853443154199298
"SHORWO"	1	0.662044285394766	0.0528796298758276	0.362701996197718	0.0688130269466027
"STRONA"	1	0	0.0128343878343878	0.367063492063492	0.0638371290545204
"SYZYCY"	0.0301392301392301	0	0.692095783004874	0.0871212121212121	1
"SYZYMA"	0.245045045045045	1	0.663752913752914	0.590277777777778	0.523550724637681
"SYZYNE"	0.0153153153153153	1	0.874271561771562	0.0811631944444444	0.60054347826087
"SYZYSY"	0.0268809349890431	0	0.686826686826687	0.207207207207207	1
"SYZYWI"	0.278971654581411	0.263988522238164	0.925805901415657	0.327235772357724	1
"T-DEAD"	0.834378378378378	1	0.932027972027972	0.78625	0.761304347826087
"T-UNKN"	0.455636123928807	0.137733142037303	0.392972880777759	1	0.992576882290562
"TIMOJA"	0.0481255448997384	0.174573055028463	0.861267764493571	0.0618279569892473	1
"URANAP"	0.708271908271908	0	0.409408773045137	0.987373737373737	1
"VITEAL"	0	0.515663736759071	1	0.0684865900383142	0.524071297684491
"XYLOCH"	0.745123384253819	1	0.740422620857403	0.73143115942029	0.662807183364839
