SpecID	MetaRelAbund	muDisp	sigmaDisp	trait	CNDD	LocalAbund	Kcon10	Kcon50
0	0.00148606	3.68888	0	0.296603	1	0	0	0
1	0.000610447	3.68888	0	0.223306	1	0	0	0
2	0.00201701	3.68888	0	0.593354	1	0	0	0
3	0.00170919	3.68888	0	0.921235	1	0	0	0
4	0.00170921	3.68888	0	0.199593	1	0	0	0
5	0.00141833	3.68888	0	0.823626	1	0	0	0
6	0.00154175	3.68888	0	0.294382	1	0	0	0
7	0.000394209	3.68888	0	0.504901	1	0	0	0
8	0.00531291	3.68888	0	0.767521	1	0	0	0
9	0.00201755	3.68888	0	0.434711	1	0	0	0
10	0.000690688	3.68888	0	0.662867	1	0	0	0
11	0.000537184	3.68888	0	0.920211	1	0	0	0
12	0.00202855	3.68888	0	0.310083	1	0	0	0
13	0.00832578	3.68888	0	0.795722	1	0	0	0
14	0.00241786	3.68888	0	0.326948	1	0	0	0
15	0.000268814	3.68888	0	0.174332	1	0	0	0
16	0.00480405	3.68888	0	0.943175	1	0	0	0
17	0.00661421	3.68888	0	0.559434	1	0	0	0
18	0.00155428	3.68888	0	0.138296	1	0	0	0
19	0.000939197	3.68888	0	0.265547	1	0	0	0
20	0.00095098	3.68888	0	0.439351	1	0	0	0
21	0.00379117	3.68888	0	0.258247	1	0	0	0
22	0.000628117	3.68888	0	0.256374	1	0	0	0
23	0.00236985	3.68888	0	0.191224	1	0	0	0
24	0.00966631	3.68888	0	0.98874	1	0	0	0
25	0.0033811	3.68888	0	0.987702	1	0	0	0
26	0.000934039	3.68888	0	0.259373	1	0	0	0
27	0.000776102	3.68888	0	0.73131	1	0	0	0
28	0.00251891	3.68888	0	0.569045	1	0	0	0
29	0.00244271	3.68888	0	0.607483	1	0	0	0
30	0.000889298	3.68888	0	0.844482	1	0	0	0
31	0.000678026	3.68888	0	0.569055	1	0	0	0
32	0.000666883	3.68888	0	0.224771	1	0	0	0
33	0.00212169	3.68888	0	0.345613	1	0	0	0
34	0.000543809	3.68888	0	0.236213	1	0	0	0
35	0.00192608	3.68888	0	0.957688	1	0	0	0
36	0.00274351	3.68888	0	0.142747	1	0	0	0
37	0.00101117	3.68888	0	0.445635	1	0	0	0
38	0.00253591	3.68888	0	0.0021447	1	0	0	0
39	0.00634917	3.68888	0	0.541287	1	0	0	0
40	0.00189066	3.68888	0	0.186278	1	0	0	0
41	0.00041347	3.68888	0	0.484393	1	0	0	0
42	0.00100127	3.68888	0	0.677559	1	0	0	0
43	0.000743755	3.68888	0	0.555677	1	0	0	0
44	0.00232217	3.68888	0	0.196163	1	0	0	0
45	0.00192196	3.68888	0	0.631357	1	0	0	0
46	0.00312807	3.68888	0	0.49444	1	0	0	0
47	0.00597478	3.68888	0	0.177192	1	0	0	0
48	0.000803744	3.68888	0	0.730525	1	0	0	0
49	0.000798018	3.68888	0	0.395068	1	0	0	0
50	0.00244392	3.68888	0	0.258383	1	0	0	0
51	0.000620236	3.68888	0	0.460417	1	0	0	0
52	0.000810538	3.68888	0	0.633574	1	0	0	0
53	0.00772364	3.68888	0	0.203856	1	0	0	0
54	0.000811395	3.68888	0	0.0650161	1	0	0	0
55	0.000240645	3.68888	0	0.50338	1	0	0	0
56	0.00125837	3.68888	0	0.741393	1	0	0	0
57	0.00205684	3.68888	0	0.454336	1	0	0	0
58	0.000809254	3.68888	0	0.243313	1	0	0	0
59	0.000593728	3.68888	0	0.817935	1	0	0	0
60	0.00109519	3.68888	0	0.344674	1	0	0	0
61	0.000823464	3.68888	0	0.827974	1	0	0	0
62	0.0023136	3.68888	0	0.236537	1	0	0	0
63	0.00339133	3.68888	0	0.0953141	1	0	0	0
64	0.00116056	3.68888	0	0.766697	1	0	0	0
65	0.0018253	3.68888	0	0.0435569	1	0	0	0
66	0.00496615	3.68888	0	0.643687	1	0	0	0
67	0.00204502	3.68888	0	0.26158	1	0	0	0
68	0.00515101	3.68888	0	0.686149	1	0	0	0
69	0.00174929	3.68888	0	0.720095	1	0	0	0
70	0.00246129	3.68888	0	0.605489	1	0	0	0
71	0.00178976	3.68888	0	0.536423	1	0	0	0
72	0.00146096	3.68888	0	0.146952	1	0	0	0
73	0.00193641	3.68888	0	0.62562	1	0	0	0
74	0.0151642	3.68888	0	0.794984	1	0	0	0
75	0.00206033	3.68888	0	0.48725	1	0	0	0
76	0.000863792	3.68888	0	0.195949	1	0	0	0
77	0.000948519	3.68888	0	0.328087	1	0	0	0
78	0.000462387	3.68888	0	0.550775	1	0	0	0
79	0.00147096	3.68888	0	0.211195	1	0	0	0
80	0.00336728	3.68888	0	0.7376	1	0	0	0
81	0.000394279	3.68888	0	0.483365	1	0	0	0
82	0.00147488	3.68888	0	0.953577	1	0	0	0
83	0.00103699	3.68888	0	0.800683	1	0	0	0
84	0.00199178	3.68888	0	0.822135	1	0	0	0
85	0.00113325	3.68888	0	0.113071	1	0	0	0
86	0.00106795	3.68888	0	0.274085	1	0	0	0
87	0.00050304	3.68888	0	0.0203658	1	0	0	0
88	0.000774209	3.68888	0	0.493132	1	0	0	0
89	0.000585878	3.68888	0	0.712989	1	0	0	0
90	0.000634677	3.68888	0	0.610581	1	0	0	0
91	0.00146695	3.68888	0	0.294926	1	0	0	0
92	0.00178311	3.68888	0	0.11557	1	0	0	0
93	0.000255556	3.68888	0	0.0955456	1	0	0	0
94	0.000447032	3.68888	0	0.358209	1	0	0	0
95	0.000986373	3.68888	0	0.201762	1	0	0	0
96	0.000899183	3.68888	0	0.149027	1	0	0	0
97	0.000790284	3.68888	0	0.252819	1	0	0	0
98	0.00188128	3.68888	0	0.338675	1	0	0	0
99	0.00428878	3.68888	0	0.543277	1	0	0	0
100	0.00259554	3.68888	0	0.35922	1	0	0	0
101	0.00136386	3.68888	0	0.857185	1	0	0	0
102	0.00810428	3.68888	0	0.590885	1	0	0	0
103	0.00557406	3.68888	0	0.737608	1	0	0	0
104	0.000713042	3.68888	0	0.330407	1	0	0	0
105	0.00308032	3.68888	0	0.0298321	1	0	0	0
106	0.00161804	3.68888	0	0.678414	1	0	0	0
107	0.00115665	3.68888	0	0.67882	1	0	0	0
108	0.00148095	3.68888	0	0.838591	1	0	0	0
109	0.00132315	3.68888	0	0.382547	1	0	0	0
110	0.0011248	3.68888	0	0.391378	1	0	0	0
111	0.00272325	3.68888	0	0.766339	1	0	0	0
112	0.00117546	3.68888	0	0.247096	1	0	0	0
113	0.00172264	3.68888	0	0.933982	1	0	0	0
114	0.00148896	3.68888	0	0.0105976	1	0	0	0
115	0.00086757	3.68888	0	0.854255	1	0	0	0
116	0.00140188	3.68888	0	0.852243	1	0	0	0
117	0.00203221	3.68888	0	0.695736	1	0	0	0
118	0.000484793	3.68888	0	0.309307	1	0	0	0
119	0.000528411	3.68888	0	0.955508	1	0	0	0
120	0.00158749	3.68888	0	0.856258	1	0	0	0
121	0.000217821	3.68888	0	0.740793	1	0	0	0
122	0.000289434	3.68888	0	0.811737	1	0	0	0
123	0.000936534	3.68888	0	0.414012	1	0	0	0
124	0.000589024	3.68888	0	0.434662	1	0	0	0
125	0.000403765	3.68888	0	0.082851	1	0	0	0
126	0.00212116	3.68888	0	0.375398	1	0	0	0
127	0.00119552	3.68888	0	0.0300993	1	0	0	0
128	0.00113325	3.68888	0	0.84538	1	0	0	0
129	0.00678852	3.68888	0	0.284738	1	0	0	0
130	0.000380934	3.68888	0	0.918305	1	0	0	0
131	0.000570825	3.68888	0	0.996408	1	0	0	0
132	0.000289095	3.68888	0	0.615286	1	0	0	0
133	0.000666117	3.68888	0	0.575453	1	0	0	0
134	0.000989779	3.68888	0	0.372703	1	0	0	0
135	0.000931218	3.68888	0	0.4823	1	0	0	0
136	0.000630365	3.68888	0	0.33544	1	0	0	0
137	0.000600682	3.68888	0	0.453896	1	0	0	0
138	0.00205322	3.68888	0	0.451738	1	0	0	0
139	0.00167486	3.68888	0	0.943416	1	0	0	0
140	0.00361963	3.68888	0	0.895325	1	0	0	0
141	0.000411737	3.68888	0	0.938963	1	0	0	0
142	0.000411147	3.68888	0	0.4175	1	0	0	0
143	0.00211424	3.68888	0	0.520727	1	0	0	0
144	0.00180301	3.68888	0	0.341101	1	0	0	0
145	0.00105613	3.68888	0	0.955792	1	0	0	0
146	0.00191216	3.68888	0	0.335785	1	0	0	0
147	0.000651404	3.68888	0	0.544681	1	0	0	0
148	0.000545228	3.68888	0	0.463833	1	0	0	0
149	0.00144009	3.68888	0	0.0780649	1	0	0	0
150	0.00241029	3.68888	0	0.44456	1	0	0	0
151	0.000164693	3.68888	0	0.550926	1	0	0	0
152	0.00233879	3.68888	0	0.103524	1	0	0	0
153	0.00176737	3.68888	0	0.400063	1	0	0	0
154	0.00163285	3.68888	0	0.276686	1	0	0	0
155	0.0020889	3.68888	0	0.533961	1	0	0	0
156	0.000380801	3.68888	0	0.0352298	1	0	0	0
157	0.00222926	3.68888	0	0.839065	1	0	0	0
158	0.00148428	3.68888	0	0.417985	1	0	0	0
159	0.000455835	3.68888	0	0.132684	1	0	0	0
160	0.00565488	3.68888	0	0.557835	1	0	0	0
161	0.0007793	3.68888	0	0.291217	1	0	0	0
162	0.00497318	3.68888	0	0.551755	1	0	0	0
163	0.000363238	3.68888	0	0.36399	1	0	0	0
164	0.00263578	3.68888	0	0.130572	1	0	0	0
165	0.000501158	3.68888	0	0.156483	1	0	0	0
166	0.00393345	3.68888	0	0.592849	1	0	0	0
167	0.000507771	3.68888	0	0.0279362	1	0	0	0
168	0.00547682	3.68888	0	0.470407	1	0	0	0
169	0.00417084	3.68888	0	0.767258	1	0	0	0
170	0.00305458	3.68888	0	0.351953	1	0	0	0
171	0.00212311	3.68888	0	0.59422	1	0	0	0
172	0.000856333	3.68888	0	0.595632	1	0	0	0
173	0.00465719	3.68888	0	0.960863	1	0	0	0
174	0.00117366	3.68888	0	0.142836	1	0	0	0
175	0.0010209	3.68888	0	0.309181	1	0	0	0
176	0.000778455	3.68888	0	0.461137	1	0	0	0
177	0.00193978	3.68888	0	0.838225	1	0	0	0
178	0.00116104	3.68888	0	0.267306	1	0	0	0
179	0.00332675	3.68888	0	0.316963	1	0	0	0
180	0.0009816	3.68888	0	0.0832485	1	0	0	0
181	0.00197957	3.68888	0	0.736956	1	0	0	0
182	0.00111141	3.68888	0	0.789729	1	0	0	0
183	0.00102343	3.68888	0	0.260479	1	0	0	0
184	0.000203342	3.68888	0	0.584357	1	0	0	0
185	0.000389326	3.68888	0	0.896302	1	0	0	0
186	8.54143e-005	3.68888	0	0.0924633	1	0	0	0
187	0.00155387	3.68888	0	0.0762875	1	0	0	0
188	0.00266389	3.68888	0	0.783502	1	0	0	0
189	0.00478009	3.68888	0	0.430213	1	0	0	0
190	0.00130097	3.68888	0	0.0641794	1	0	0	0
191	0.00149012	3.68888	0	0.541035	1	0	0	0
192	0.000517177	3.68888	0	0.326295	1	0	0	0
193	0.010312	3.68888	0	0.178804	1	0	0	0
194	0.00435454	3.68888	0	0.0489663	1	0	0	0
195	0.000433787	3.68888	0	0.446511	1	0	0	0
196	0.00117421	3.68888	0	0.19654	1	0	0	0
197	0.00344844	3.68888	0	0.0241463	1	0	0	0
198	0.00256541	3.68888	0	0.514443	1	0	0	0
199	0.00108485	3.68888	0	0.478759	1	0	0	0
200	0.00147464	3.68888	0	0.185632	1	0	0	0
201	0.00405218	3.68888	0	0.424196	1	0	0	0
202	0.00269571	3.68888	0	0.217814	1	0	0	0
203	0.00960193	3.68888	0	0.734551	1	0	0	0
204	0.000535727	3.68888	0	0.309052	1	0	0	0
205	0.0014284	3.68888	0	0.44336	1	0	0	0
206	0.00450544	3.68888	0	0.810702	1	0	0	0
207	0.00180066	3.68888	0	0.885409	1	0	0	0
208	0.00488357	3.68888	0	0.966512	1	0	0	0
209	0.000836327	3.68888	0	0.575757	1	0	0	0
210	0.00106017	3.68888	0	0.329749	1	0	0	0
211	0.000192182	3.68888	0	0.755945	1	0	0	0
212	0.000837375	3.68888	0	0.0509908	1	0	0	0
213	0.00135288	3.68888	0	0.997793	1	0	0	0
214	0.000736512	3.68888	0	0.404722	1	0	0	0
215	0.00150411	3.68888	0	0.584714	1	0	0	0
216	0.00148798	3.68888	0	0.643989	1	0	0	0
217	0.00468025	3.68888	0	0.840515	1	0	0	0
218	0.00232922	3.68888	0	0.759297	1	0	0	0
219	0.00172005	3.68888	0	0.497036	1	0	0	0
220	0.00302865	3.68888	0	0.984296	1	0	0	0
221	0.00063458	3.68888	0	0.308394	1	0	0	0
222	0.00113464	3.68888	0	0.331174	1	0	0	0
223	0.00186679	3.68888	0	0.514396	1	0	0	0
224	0.00242068	3.68888	0	0.864482	1	0	0	0
225	0.0115065	3.68888	0	0.657297	1	0	0	0
226	0.000866027	3.68888	0	0.547392	1	0	0	0
227	0.000719435	3.68888	0	0.487999	1	0	0	0
228	0.00115569	3.68888	0	0.338594	1	0	0	0
229	0.00139597	3.68888	0	0.0618692	1	0	0	0
230	0.000708735	3.68888	0	0.372289	1	0	0	0
231	0.000898639	3.68888	0	0.894226	1	0	0	0
232	0.00337964	3.68888	0	0.231852	1	0	0	0
233	0.000623654	3.68888	0	0.452275	1	0	0	0
234	0.00589928	3.68888	0	0.203184	1	0	0	0
235	0.000522725	3.68888	0	0.312097	1	0	0	0
236	0.000314696	3.68888	0	0.755856	1	0	0	0
237	0.000471181	3.68888	0	0.794158	1	0	0	0
238	0.000949947	3.68888	0	0.137255	1	0	0	0
239	0.00212506	3.68888	0	0.958063	1	0	0	0
240	0.00104971	3.68888	0	0.155511	1	0	0	0
241	0.00245566	3.68888	0	0.0607082	1	0	0	0
242	0.00921829	3.68888	0	0.177619	1	0	0	0
243	0.00533986	3.68888	0	0.116453	1	0	0	0
244	0.00104656	3.68888	0	0.0796936	1	0	0	0
245	0.00692208	3.68888	0	0.568207	1	0	0	0
246	0.000311519	3.68888	0	0.940891	1	0	0	0
247	0.000948234	3.68888	0	0.262057	1	0	0	0
248	0.00289247	3.68888	0	0.713713	1	0	0	0
249	0.000586017	3.68888	0	0.764306	1	0	0	0
250	0.00671461	3.68888	0	0.535987	1	0	0	0
251	0.0012382	3.68888	0	0.718782	1	0	0	0
252	0.00388021	3.68888	0	0.383898	1	0	0	0
253	0.000837675	3.68888	0	0.00604005	1	0	0	0
254	0.00141568	3.68888	0	0.0468338	1	0	0	0
255	0.00097656	3.68888	0	0.774136	1	0	0	0
256	0.00208886	3.68888	0	0.991447	1	0	0	0
257	0.00514058	3.68888	0	0.908958	1	0	0	0
258	0.000402991	3.68888	0	0.107302	1	0	0	0
259	0.000508786	3.68888	0	0.867486	1	0	0	0
260	0.000762791	3.68888	0	0.537509	1	0	0	0
261	0.00125342	3.68888	0	0.718803	1	0	0	0
262	0.00117172	3.68888	0	0.69141	1	0	0	0
263	0.00426467	3.68888	0	0.0675508	1	0	0	0
264	0.00170414	3.68888	0	0.412272	1	0	0	0
265	0.00645598	3.68888	0	0.361425	1	0	0	0
266	0.000516182	3.68888	0	0.0848872	1	0	0	0
267	0.00164431	3.68888	0	0.945991	1	0	0	0
268	0.00152815	3.68888	0	0.149647	1	0	0	0
269	0.00246668	3.68888	0	0.0990757	1	0	0	0
270	0.000800141	3.68888	0	0.710793	1	0	0	0
271	0.000522565	3.68888	0	0.477944	1	0	0	0
272	0.0025571	3.68888	0	0.890812	1	0	0	0
273	0.00244547	3.68888	0	0.0965636	1	0	0	0
274	0.00111975	3.68888	0	0.863717	1	0	0	0
275	0.000566501	3.68888	0	0.815284	1	0	0	0
276	0.00093165	3.68888	0	0.435843	1	0	0	0
277	0.00182974	3.68888	0	0.189037	1	0	0	0
278	0.00150294	3.68888	0	0.720347	1	0	0	0
279	0.00107873	3.68888	0	0.108627	1	0	0	0
280	0.00611598	3.68888	0	0.984547	1	0	0	0
281	0.000378661	3.68888	0	0.0361225	1	0	0	0
