TreeID	X	Y	SpecID
1636216	964.273	367.1	68
1612873	571.088	223.676	12
1619000	163.42	202.971	101
1633705	308.913	378.651	56
1632188	141.442	397.991	13
1631451	661.191	393.931	16
1589943	620.493	293.575	44
1636766	95.0589	341.866	12
1608650	336.205	237.639	18
1628423	39.6261	47.2801	90
1630002	234.988	71.2987	36
1624597	757.142	456.65	21
1611798	337.07	383.466	17
1629621	984.406	489.458	66
1614159	36.5669	147.929	121
1637505	51.1631	249.24	109
1622724	405.214	108.013	20
1637036	501.17	422.801	6
1635234	42.1466	483.857	48
1626407	787.516	354.334	1
1622761	865.945	400.543	5
1588964	220.478	435.088	10
1635656	821.388	145.801	5
1626465	230.445	484.971	37
1630550	178.123	342.127	57
1573341	424.37	374.09	37
1574877	889.329	247.624	30
1627381	921.17	361.877	105
1634023	30.604	354.66	11
1618861	39.4938	250.971	59
1611677	875.126	483.51	12
1614647	822.252	240.919	163
1599128	681.447	41.0627	68
1603955	942.999	272.579	87
1599455	361.847	314.46	9
1581864	150.719	269.078	54
1611137	673.979	120.074	43
1617350	502.32	229.461	37
1633467	510.513	446.959	45
1633416	450.309	291.731	9
1629153	652.072	245.407	36
1634537	99.1991	111.783	5
1576871	334.645	128.913	5
1630576	595.495	425.37	3
1624251	958.777	25.3703	15
1623992	948.49	94.9585	5
1629225	728.259	35.8192	9
1600843	126.306	182.592	8
1600432	881.44	90.0348	150
1612405	145.774	113.413	26
1549146	857.394	467.773	69
1615844	332.919	354.146	5
1548258	652.257	306.116	37
1605515	500.658	466.549	18
1636587	720.853	63.2101	7
1626969	753.708	27.9378	73
1621677	534.407	166.885	29
1636181	901.796	258.761	140
1583537	723.237	435.791	59
1612610	140.17	93.2144	45
1634522	120.342	337.479	6
1627425	521.449	108.815	47
1573471	345.715	172.314	33
1632562	193.016	342.167	16
1618532	342.393	306.446	59
1601286	110.364	176.407	8
1631930	322.171	223.172	36
1616590	869.632	179.067	18
1618370	391.901	151.341	11
1622791	185.267	192.406	18
1618242	944.812	150.724	150
1611658	265.914	39.0846	109
1621319	114.642	312.85	59
1615981	646.58	427.67	35
1613811	25.9541	36.049	21
1636234	147.524	446.699	57
1624527	346.781	375.988	22
1605254	204.933	355.053	5
1632776	511.689	26.8115	5
1577430	93.7005	161.74	46
1636998	784.533	33.8051	30
1588619	576.511	379.706	24
1601343	573.826	95.2893	14
1630858	753.365	261.498	72
1631191	398.286	448.401	5
1633643	467.566	464.842	36
1627285	591.167	386.581	78
1612661	244.909	485.247	1
1625138	311.942	150.757	35
1634941	625.473	422.166	101
1627663	328.334	171.001	122
1636987	460.613	94.7767	31
1635991	851.223	370.487	16
1633150	58.2442	411.935	18
1606736	735.657	199.492	17
1604172	20.6874	443.07	5
1618692	826.955	377.558	18
1626487	265.882	214.415	94
1634317	521.217	102.669	128
1633663	669.355	475.425	5
1631625	99.1996	352.45	61
1627657	806.292	488.329	191
1626385	97.8983	24.9172	75
1616159	781.826	440.228	73
1625611	486.265	21.5687	0
1626382	956.154	217.972	5
1623740	622.412	328.945	5
1625620	950.071	421.369	29
1623667	737.645	223.924	18
1625875	377.629	440.465	8
1622829	852.176	57.4754	18
1624082	418.149	69.5932	31
1615824	667.669	291.133	59
1619807	404.501	26.1696	40
1637735	26.8727	277.587	61
1601358	486.706	286.252	39
1625420	81.8428	220.319	31
1597674	437.426	107.265	29
1628432	868.945	110.882	10
1623649	325.698	314.795	55
1548679	475.032	4.08001	73
1637278	180.874	207.788	101
1633929	252.129	87.3216	9
1586305	123.271	152.396	8
1624857	762.615	462.356	79
1620540	419.5	89.496	12
1624032	796.592	30.6919	33
1630972	648.116	101.883	18
1617093	73.2755	466.36	69
1611345	718.267	132.602	37
1635979	826.769	349.703	18
1637247	1.36208	368.403	13
1630179	519.665	432.812	99
1636157	143.923	309.401	5
1588403	228.401	384.379	30
1631218	532.453	0.0606127	36
1605912	615.254	325.91	4
1632233	816.07	177.99	0
1626357	741.357	423.613	33
1628068	502.48	218.231	36
1626415	495.718	324.08	94
1635346	341.011	472.804	18
1614961	361.019	284.661	18
1634747	381.572	351.515	6
1629722	624.567	187.444	36
1558644	981.733	409.844	9
1595343	566.387	293.788	40
1571924	916.666	61.2099	37
1631221	311.98	184.825	9
1625241	70.1844	421.866	91
1625023	267.803	270.021	59
1633092	874.675	23.7531	49
1635162	770.744	102.301	71
1581554	741.566	441.982	0
1629721	886.675	300.289	3
1625068	634.946	230.995	9
1637016	257.159	255.178	105
1597528	744.005	360.035	30
1629645	864.142	202.907	5
1634755	548.747	424.622	10
1635069	526.136	278.564	12
1611986	895.891	119.369	4
1624155	83.5172	82.5398	25
1595088	728.828	446.361	13
1572519	873.078	430.949	79
1636052	743.96	316.429	9
1625527	174.391	435.623	73
1580944	725.534	71.7389	154
1630933	605.131	269.234	12
1604297	153.305	410.635	17
1634142	23.9691	226.392	43
1629229	956.298	103.662	5
1634985	340.635	388.823	5
1616311	896.344	5.10435	39
1635784	898.745	496.72	71
1635565	339.98	153.988	14
1636634	647.579	489.51	12
1626742	954.441	228.269	10
1595299	754.255	108.246	14
1621380	165.874	212.799	11
1610496	236.676	320.557	5
1581215	405.017	450.869	45
1602465	176.74	49.0061	36
1624199	332.546	296.748	0
1588326	274.24	49.187	11
1632547	433.398	245.92	59
1637703	752.581	430.125	17
1631519	857.897	333.167	5
1633731	347.561	445.992	5
1623718	778.459	208.321	25
1613560	628.172	376.8	45
1629072	271.61	85.0933	18
1602774	25.4482	308.202	59
1632401	828.349	332.677	18
1619947	132.337	48.0754	10
1624022	216.444	149.502	36
1589944	224.716	184.174	39
1617040	864.16	70.7188	21
1631003	6.51004	273.416	0
1631010	177.178	371.715	10
1628260	116.652	20.416	39
1609831	180.681	345.904	91
1602238	889.767	333.636	6
1636554	4.7074	202.356	6
1602283	418.797	431.668	12
1635666	796.524	177.256	59
1615216	348.743	68.8644	32
1627843	300.379	488.241	18
1607145	606.826	323.13	29
1584594	496.038	147.24	31
1634723	116.702	394.408	33
1582377	323.874	271.321	11
1627740	616.195	253.454	73
1626152	649.654	426.73	101
1637042	548.976	235.977	2
1631108	772.669	356.413	50
1627615	710.063	162.821	9
1615008	417.692	371.697	17
1620544	590.189	207.822	11
1576453	250.643	230.531	9
1631779	900.02	259.754	9
1604255	749.656	288.988	9
1629027	577.365	175.524	6
1564645	703.143	207.607	3
1596773	528.801	27.6422	57
1634520	107.299	409.08	55
1624692	718.619	352.91	2
1576924	348.625	129.187	61
1625185	580.381	288.191	59
1627980	518.981	25.0403	12
1537999	369.652	235.364	67
1617409	964.579	366.351	12
1609945	146.044	420.755	18
1631585	621.832	395.069	59
1607647	406.537	164.297	61
1635694	821.865	46.0949	14
1614543	360.291	184.107	36
1615050	737.644	376.721	2
1623352	590.952	385.279	120
1597520	400.245	370.414	31
1519360	162.243	38.6619	57
1608030	118.371	402.992	27
1602145	663.368	488.389	12
1628643	259.566	226.892	10
1616247	862.469	362.917	14
1615474	64.7536	194.555	4
1591347	447.859	273.637	25
1617007	323.663	390.909	5
1635048	76.7719	160.91	57
1633480	653.105	299.722	31
1627240	534.897	276.355	2
1625333	211.784	20.8198	5
1633014	99.3479	285.303	0
1596424	915.673	390.436	15
1611265	135.301	286.416	21
1629964	629.311	287.816	31
1604612	257.534	372.54	5
1634261	183.972	344.122	14
1635191	749.922	187.944	12
1630297	955.845	352.31	27
1604416	849.2	43.2656	39
1631185	276.763	145.368	57
1611651	896	384.453	35
1613818	251.091	498.247	85
1579911	453.013	114.263	9
1599443	250.454	78.8269	53
1633200	58.6987	249.646	36
1624292	707.205	450.172	59
1636381	569.432	213.533	0
1628334	637.434	305.826	35
1602967	870.02	333.398	78
1634822	271.64	109.109	13
1613801	240.476	333.998	27
1523274	637.961	92.2462	29
1602537	143.915	280.109	9
1622102	91.64	416.383	38
1633800	805.543	404.123	12
1612530	676.445	72.5829	29
1627476	840.305	48.6233	54
1609290	842.856	171.402	31
1611140	525.788	419.575	36
1576176	821.264	402.474	39
1605492	782.305	53.2513	18
1633567	856.087	19.2708	65
1621080	771.662	480.64	40
1629085	823.869	419.875	13
1612183	384.659	229.105	20
1632559	458.479	307.816	14
1634385	988.368	9.10676	94
1632228	560.202	34.7736	8
1627030	659.041	342.587	5
1637532	486.782	255.477	5
1626629	391.633	242.171	15
1634051	134.616	177.617	35
1630698	149.058	150.261	73
1592010	989.534	140.392	113
1617918	481.966	394.197	109
1630759	421.113	234.127	33
1636724	104.915	316.487	37
1631140	870.64	439.153	25
1623279	36.0069	389.043	18
1627991	336.852	131.468	31
1636725	929.703	305.902	38
1631136	91.5732	449.587	5
1633833	898.296	370.991	34
1629628	645.151	93.7819	29
1631591	550.144	328.068	8
1637086	845.201	128.892	18
1619379	474.142	225.104	5
1637536	695.969	254.459	59
1613524	510.809	70.9772	13
1635528	150.062	190.162	5
1631547	770.599	441.318	31
1609953	55.8147	28.581	6
1607593	605.648	279.966	5
1626332	946.463	238.219	5
1608532	143.607	41.1114	5
1603952	332.868	124.671	35
1604609	796.299	97.5567	5
1621612	891.702	429.819	29
1601365	830.511	320.143	5
1615835	356.212	190.942	26
1621214	826.221	116.322	59
1617793	935.976	393.938	50
1634224	960.211	322.68	11
1630206	709.166	274.323	178
1637743	164.337	392.225	16
1635978	58.5816	386.593	17
1540656	111.899	189.46	11
1629545	267.557	498.801	47
1627913	285.486	25.6063	5
1626263	815.721	38.9136	12
1611607	507.534	253.212	5
1617763	680.872	383.41	53
1542748	928.138	251.342	37
1617634	509.296	273.842	55
1585777	5.46498	353.631	5
1626604	124.988	178.079	35
1628684	249.019	46.7992	40
1615532	705.338	77.0299	25
1633215	420.273	289.653	33
1636747	237.635	47.2572	55
1531112	370.431	68.9982	67
1603904	381.967	71.8297	85
1630580	171.544	52.1595	5
1621111	616.519	190.38	18
1623896	215.084	484.04	5
1622549	276.562	153.91	0
1618700	787.74	52.673	1
1616095	250.596	51.1778	33
1613810	307.102	18.459	226
1626010	967.148	208.863	94
1563111	189.927	398.978	11
